temp ,rH,smoke(ppm),density_index,class,,,
26.52,16.252,62.347862,2,Potential fire,,,
26.39,16.246,60.753498,2,Potential fire,,,
26.29,16.22,61.554943,2,Potential fire,,,
26.19,16.196,59.943375,2,Potential fire,,,
26.8,16.291,60.349529,2,Potential fire,,,
25.98,16.341,61.155296,2,Potential fire,,,
25.88,16.402,61.155296,2,Potential fire,,,
25.78,16.335,61.155296,2,Potential fire,,,
20.12,16.58,0,1,No fire,,,
20.03,16.21,0,1,No fire,,,
20.75,16.73,0,1,No fire,,,
20.34,16.95,0,1,No fire,,,
20.91,16.37,0,1,No fire,,,
20.28,16.82,0,1,No fire,,,
20.66,16.14,0,1,No fire,,,
20.41,16.66,0,1,No fire,,,
20.52,16.47,0,1,No fire,,,
20.17,16.89,0,1,No fire,,,
20.61,16.29,0,1,No fire,,,
20.22,16.75,0,1,No fire,,,
20.88,16.62,0,1,No fire,,,
20.48,16.08,0,1,No fire,,,
20.19,16.53,0,1,No fire,,,
20.39,16.42,0,1,No fire,,,
20.97,16.97,0,1,No fire,,,
20.59,16.19,0,1,No fire,,,
20.82,16.82,0,1,No fire,,,
20.14,16.34,0,1,No fire,,,
20.71,16.71,0,1,No fire,,,
20.31,16.23,0,1,No fire,,,
20.83,16.73,0,1,No fire,,,
20.27,16.15,0,1,No fire,,,
20.44,16.65,0,1,No fire,,,
20.68,16.46,0,1,No fire,,,
20.36,16.88,0,1,No fire,,,
20.74,16.28,0,1,No fire,,,
20.56,16.74,0,1,No fire,,,
20.23,16.09,0,1,No fire,,,
20.49,16.55,0,1,No fire,,,
20.92,16.44,0,1,No fire,,,
20.18,16.98,0,1,No fire,,,
20.63,16.18,0,1,No fire,,,
20.32,16.83,0,1,No fire,,,
20.86,16.32,0,1,No fire,,,
20.21,16.72,0,1,No fire,,,
20.57,16.26,0,1,No fire,,,
20.37,16.67,0,1,No fire,,,
20.94,16.48,0,1,No fire,,,
20.67,16.91,0,1,No fire,,,
20.29,16.21,0,1,No fire,,,
20.51,16.75,0,1,No fire,,,
20.78,16.14,0,1,No fire,,,
20.16,16.62,0,1,No fire,,,
20.42,16.31,0,1,No fire,,,
20.72,16.82,0,1,No fire,,,
20.24,16.38,0,1,No fire,,,
20.89,16.64,0,1,No fire,,,
20.47,16.08,0,1,No fire,,,
20.13,16.53,0,1,No fire,,,
20.62,16.42,0,1,No fire,,,
20.33,16.97,0,1,No fire,,,
20.85,16.19,0,1,No fire,,,
20.26,16.81,0,1,No fire,,,
20.53,16.35,0,1,No fire,,,
20.96,16.73,0,1,No fire,,,
20.58,16.15,0,1,No fire,,,
20.38,16.65,0,1,No fire,,,
20.69,16.46,0,1,No fire,,,
20.35,16.88,0,1,No fire,,,
20.73,16.27,0,1,No fire,,,
20.55,16.73,0,1,No fire,,,
20.25,16.09,0,1,No fire,,,
20.46,16.55,0,1,No fire,,,
20.93,16.44,0,1,No fire,,,
20.15,16.98,0,1,No fire,,,
20.64,16.17,0,1,No fire,,,
20.3,16.82,0,1,No fire,,,
20.81,16.31,0,1,No fire,,,
20.2,16.71,0,1,No fire,,,
20.54,16.25,0,1,No fire,,,
20.4,16.66,0,1,No fire,,,
20.79,16.47,0,1,No fire,,,
20.11,16.9,0,1,No fire,,,
20.76,16.2,0,1,No fire,,,
20.45,16.61,0,1,No fire,,,
20.6,16.41,0,1,No fire,,,
20.87,16.96,0,1,No fire,,,
20.7,16.18,0,1,No fire,,,
20.08,16.81,0,1,No fire,,,
20.65,16.33,0,1,No fire,,,
20.09,16.72,0,1,No fire,,,
20.8,16.28,0,1,No fire,,,
20.5,16.67,0,1,No fire,,,
21.35,18.27,48.26,1,No fire,,,
20.98,17.58,50.12,2,Potential fire,,,
20.61,16.92,52.47,2,Potential fire,,,
21.87,19.78,47.89,1,No fire,,,
20.25,16.42,49.35,1,No fire,,,
20.73,17.23,46.78,1,No fire,,,
21.52,19.15,51.54,2,Potential fire,,,
21.16,18.36,54.23,2,Potential fire,,,
20.42,16.7,58,2,Potential fire,,,
20.81,17.89,45.67,1,No fire,,,
21.7,19.41,56.89,2,Potential fire,,,
21.03,18.08,55.36,2,Potential fire,,,
20.56,16.62,57.94,2,Potential fire,,,
20.29,16.25,53.18,2,Potential fire,,,
21.93,19.98,58.73,2,Potential fire,,,
21.12,18.14,47.29,1,No fire,,,
20.64,16.78,55.45,2,Potential fire,,,
21.24,18.41,45.98,1,No fire,,,
20.97,17.73,56.2,2,Potential fire,,,
21.79,19.62,54.65,2,Potential fire,,,
21.45,19.02,50.8,2,Potential fire,,,
20.82,17.9,47.55,1,No fire,,,
20.38,16.54,52.39,2,Potential fire,,,
21.15,18.06,58.16,2,Potential fire,,,
21.68,19.26,48.72,1,No fire,,,
20.91,17.64,53.81,2,Potential fire,,,
20.53,16.99,49.63,1,No fire,,,
21.36,18.25,50.44,2,Potential fire,,,
21.04,17.96,52.97,2,Potential fire,,,
20.7,17.32,58.05,2,Potential fire,,,
20.18,16.17,57.38,2,Potential fire,,,
21.91,19.73,57.02,2,Potential fire,,,
20.46,16.81,48.99,1,No fire,,,
21.29,18.52,47.72,1,No fire,,,
20.77,17.1,49.8,1,No fire,,,
20.34,16.63,55.29,2,Potential fire,,,
21.64,19.37,52.68,2,Potential fire,,,
21.08,17.79,47.56,1,No fire,,,
20.6,16.35,45.87,1,No fire,,,
21.17,18.12,58.41,2,Potential fire,,,
20.89,17.46,56.79,2,Potential fire,,,
20.51,16.85,51.25,2,Potential fire,,,
21.23,18.2,56.48,2,Potential fire,,,
21.03,17.21,47.32,1,No fire,,,
20.68,16.46,51.84,2,Potential fire,,,
21.11,19.5,53.77,2,Potential fire,,,
20.75,19.03,57.12,2,Potential fire,,,
20.28,17.67,45.34,1,No fire,,,
21.85,16.97,50.67,2,Potential fire,,,
21.42,19.25,49.89,1,No fire,,,
20.95,18.39,57.43,2,Potential fire,,,
20.62,16.29,47.9,1,No fire,,,
21.73,17.94,51.02,2,Potential fire,,,
21.2,19.11,52.34,2,Potential fire,,,
20.35,18.17,53.67,2,Potential fire,,,
20.84,16.58,57.85,2,Potential fire,,,
21.57,18.69,58.22,2,Potential fire,,,
21.13,17.05,49.55,1,No fire,,,
20.48,16.72,58.64,2,Potential fire,,,
21.32,19.89,54.76,2,Potential fire,,,
20.99,18.67,46.9,1,No fire,,,
20.67,17.01,54.34,2,Potential fire,,,
21.95,16.23,55.79,2,Potential fire,,,
21.38,19.28,57.91,2,Potential fire,,,
20.72,17.9,58.47,2,Potential fire,,,
20.21,16.65,47.93,1,No fire,,,
21.67,16.93,57.11,2,Potential fire,,,
21.02,19.67,53.83,2,Potential fire,,,
20.57,18.24,46.57,1,No fire,,,
20.31,16.81,47.21,1,No fire,,,
21.82,18.01,48.23,1,No fire,,,
21.1,17.38,48.29,1,No fire,,,
20.65,16.34,48.02,1,No fire,,,
21.19,19.55,48.23,1,No fire,,,
20.94,18.49,49.1,1,No fire,,,
20.4,17.15,50.23,2,Potential fire,,,
21.76,16.58,52.9,2,Potential fire,,,
21.28,19.17,58.98,2,Potential fire,,,
20.79,17.82,47.64,1,No fire,,,
20.47,16.74,48.37,1,No fire,,,
21.6,18.15,46.79,1,No fire,,,
21.05,17.52,52.94,2,Potential fire,,,
20.61,16.42,51.1,2,Potential fire,,,
21.14,17.48,55.23,2,Potential fire,,,
20.86,16.98,56.1,2,Potential fire,,,
21.35,18.27,100.1,3,Fire,,,
20.98,17.58,100.08,3,Fire,,,
20.61,16.92,100.16,3,Fire,,,
21.87,19.78,100.24,3,Fire,,,
20.25,16.42,100.32,3,Fire,,,
20.73,17.23,100.4,3,Fire,,,
21.52,19.15,100.48,3,Fire,,,
21.16,18.36,100.56,3,Fire,,,
20.42,16.7,100.64,3,Fire,,,
20.81,17.89,100.72,3,Fire,,,
21.7,19.41,100.8,3,Fire,,,
21.03,18.08,100.88,3,Fire,,,
20.56,16.62,100.96,3,Fire,,,
20.29,16.25,101.04,3,Fire,,,
21.93,19.98,101.12,3,Fire,,,
21.12,18.14,101.2,3,Fire,,,
20.64,16.78,101.28,3,Fire,,,
21.24,18.41,101.36,3,Fire,,,
20.97,17.73,101.44,3,Fire,,,
21.79,19.62,101.52,3,Fire,,,
21.45,19.02,101.6,3,Fire,,,
20.82,17.9,101.68,3,Fire,,,
20.38,16.54,101.76,3,Fire,,,
21.15,18.06,101.84,3,Fire,,,
21.68,19.26,101.92,3,Fire,,,
20.91,17.64,102,3,Fire,,,
20.53,16.99,102.08,3,Fire,,,
21.36,18.25,102.16,3,Fire,,,
21.04,17.96,102.24,3,Fire,,,
20.7,17.32,102.32,3,Fire,,,
20.18,16.17,102.4,3,Fire,,,
21.91,19.73,102.48,3,Fire,,,
20.46,16.81,102.56,3,Fire,,,
21.29,18.52,102.64,3,Fire,,,
20.77,17.1,102.72,3,Fire,,,
20.34,16.63,102.8,3,Fire,,,
21.64,19.37,102.88,3,Fire,,,
21.08,17.79,102.96,3,Fire,,,
20.6,16.35,103.04,3,Fire,,,
21.17,18.12,103.12,3,Fire,,,
20.89,17.46,103.2,3,Fire,,,
20.51,16.85,103.28,3,Fire,,,
21.23,18.2,103.36,3,Fire,,,
21.03,17.21,103.44,3,Fire,,,
20.68,16.46,103.52,3,Fire,,,
21.11,19.5,103.6,3,Fire,,,
20.75,19.03,103.68,3,Fire,,,
20.28,17.67,103.76,3,Fire,,,
21.85,16.97,103.84,3,Fire,,,
21.42,19.25,103.92,3,Fire,,,
20.95,18.39,104,3,Fire,,,
20.62,16.29,104.08,3,Fire,,,
21.73,17.94,104.16,3,Fire,,,
21.2,19.11,104.24,3,Fire,,,
20.35,18.17,104.32,3,Fire,,,
20.84,16.58,104.4,3,Fire,,,
21.57,18.69,104.48,3,Fire,,,
21.13,17.05,104.56,3,Fire,,,
20.48,16.72,104.64,3,Fire,,,
21.32,19.89,104.72,3,Fire,,,
20.99,18.67,104.8,3,Fire,,,
20.67,17.01,104.88,3,Fire,,,
21.95,16.23,104.96,3,Fire,,,
21.38,19.28,105.04,3,Fire,,,
20.72,17.9,105.12,3,Fire,,,
20.21,16.65,105.2,3,Fire,,,
21.67,16.93,105.28,3,Fire,,,
21.02,19.67,105.36,3,Fire,,,
20.57,18.24,105.44,3,Fire,,,
20.31,16.81,105.52,3,Fire,,,
21.82,18.01,105.6,3,Fire,,,
21.1,17.38,105.68,3,Fire,,,
20.65,16.34,105.76,3,Fire,,,
21.19,19.55,105.84,3,Fire,,,
20.94,18.49,105.92,3,Fire,,,
20.4,17.15,106,3,Fire,,,
21.76,16.58,106.08,3,Fire,,,
21.28,19.17,106.16,3,Fire,,,
20.79,17.82,106.24,3,Fire,,,
20.47,16.74,106.32,3,Fire,,,
21.6,18.15,106.4,3,Fire,,,
21.05,17.52,106.48,3,Fire,,,
20.61,16.42,106.56,3,Fire,,,
21.14,18.23,106.64,3,Fire,,,
20.86,18.47,106.72,3,Fire,,,
20.55,16.73,106.8,3,Fire,,,
21.33,16.29,106.88,3,Fire,,,
21.49,19.64,106.96,3,Fire,,,
20.76,17.05,107.04,3,Fire,,,
20.2,18.39,107.12,3,Fire,,,
21.47,16.82,107.2,3,Fire,,,
20.99,16.96,107.28,3,Fire,,,
21.08,19.13,107.36,3,Fire,,,
20.67,17.21,107.44,3,Fire,,,
20.9,16.43,107.52,3,Fire,,,
21.19,18.76,107.6,3,Fire,,,
20.32,17.62,107.68,3,Fire,,,
20.73,16.14,107.76,3,Fire,,,
21.14,18.25,107.84,3,Fire,,,
20.83,18.07,107.92,3,Fire,,,
21.25,16.93,108,3,Fire,,,
20.45,16.85,108.08,3,Fire,,,
21.67,19.73,108.16,3,Fire,,,
20.92,17.49,108.24,3,Fire,,,
20.53,16.72,108.32,3,Fire,,,
21.01,18.01,108.4,3,Fire,,,
20.7,17.56,108.48,3,Fire,,,
21.33,16.32,108.56,3,Fire,,,
20.84,19.38,108.64,3,Fire,,,
21.07,18.29,108.72,3,Fire,,,
20.26,16.66,108.8,3,Fire,,,
21.61,16.93,108.88,3,Fire,,,
20.93,19.67,108.96,3,Fire,,,
20.35,18.45,109.04,3,Fire,,,
21.75,16.78,109.12,3,Fire,,,
20.51,18.19,109.2,3,Fire,,,
21.17,17.52,109.28,3,Fire,,,
20.68,16.34,109.36,3,Fire,,,
21.03,19.55,109.44,3,Fire,,,
20.58,17.82,109.52,3,Fire,,,
21.4,16.63,109.6,3,Fire,,,
20.77,18.08,109.68,3,Fire,,,
21.06,17.51,109.76,3,Fire,,,
20.36,16.42,109.84,3,Fire,,,
21.49,19.17,109.92,3,Fire,,,
20.81,17.72,110,3,Fire,,,
21.29,16.91,110.08,3,Fire,,,
20.97,18.15,110.16,3,Fire,,,
21.18,17.42,110.24,3,Fire,,,
20.46,16.82,110.32,3,Fire,,,
21.23,18.23,110.4,3,Fire,,,
20.64,17.89,110.48,3,Fire,,,
21.54,16.73,110.56,3,Fire,,,
20.85,19.43,110.64,3,Fire,,,
21.19,17.95,110.72,3,Fire,,,
20.57,16.64,110.8,3,Fire,,,
21.45,18.76,110.88,3,Fire,,,
20.95,17.28,110.96,3,Fire,,,
21.09,16.55,111.04,3,Fire,,,
20.65,19.22,111.12,3,Fire,,,
21.82,17.92,111.2,3,Fire,,,
20.38,16.43,111.28,3,Fire,,,
21.03,19.04,111.36,3,Fire,,,
20.72,17.67,111.44,3,Fire,,,
21.32,16.35,111.52,3,Fire,,,
20.86,18.62,111.6,3,Fire,,,
21.5,18.01,111.68,3,Fire,,,
20.51,16.27,111.76,3,Fire,,,
21.67,18.14,111.84,3,Fire,,,
20.77,17.73,111.92,3,Fire,,,
21.05,16.18,112,3,Fire,,,
20.61,19.45,112.08,3,Fire,,,
21.28,18.34,112.16,3,Fire,,,
20.94,16.69,112.24,3,Fire,,,
21.41,16.97,112.32,3,Fire,,,
20.55,19.34,112.4,3,Fire,,,
21.7,18.12,112.48,3,Fire,,,
20.79,16.54,112.56,3,Fire,,,
21.12,18.99,112.64,3,Fire,,,
20.47,17.21,112.72,3,Fire,,,
21.63,16.43,112.8,3,Fire,,,
20.71,19.54,112.88,3,Fire,,,
21.37,17.82,112.96,3,Fire,,,
20.29,16.63,113.04,3,Fire,,,
21.58,18.38,113.12,3,Fire,,,
20.93,17.51,113.2,3,Fire,,,
21.2,16.42,113.28,3,Fire,,,
20.42,19.17,109.72,3,Fire,,,
30.12,20.32,109.08,3,Fire,,,
30.24,20.46,121.6,3,Fire,,,
30.36,20.6,119.8,3,Fire,,,
30.48,20.74,118.36,3,Fire,,,
30.6,20.88,134.92,3,Fire,,,
30.72,21.02,126.28,3,Fire,,,
30.84,21.16,107.92,3,Fire,,,
30.96,21.3,132.04,3,Fire,,,
31.08,21.44,120.52,3,Fire,,,
31.2,21.58,144.64,3,Fire,,,
31.32,21.72,123.04,3,Fire,,,
31.44,21.86,138.16,3,Fire,,,
31.56,22,115.12,3,Fire,,,
31.68,22.14,124.84,3,Fire,,,
31.8,22.28,128.8,3,Fire,,,
31.92,22.42,127,3,Fire,,,
32.04,22.56,108.64,3,Fire,,,
32.16,22.7,105.76,3,Fire,,,
32.28,22.84,140.68,3,Fire,,,
32.4,22.98,125.92,3,Fire,,,
32.52,23.12,117.28,3,Fire,,,
32.64,23.26,130.96,3,Fire,,,
32.76,23.4,110.08,3,Fire,,,
32.88,23.54,129.52,3,Fire,,,
33,23.68,111.52,3,Fire,,,
33.12,23.82,104.68,3,Fire,,,
33.24,23.96,141.76,3,Fire,,,
33.36,20.1,122.32,3,Fire,,,
33.48,20.24,137.44,3,Fire,,,
33.6,20.38,148.6,3,Fire,,,
33.72,20.52,116.48,3,Fire,,,
33.84,20.66,113.24,3,Fire,,,
33.96,20.8,137.8,3,Fire,,,
34.08,20.94,135.28,3,Fire,,,
34.2,21.08,110.36,3,Fire,,,
34.32,21.22,134.2,3,Fire,,,
34.44,21.36,131.32,3,Fire,,,
34.56,21.5,112.52,3,Fire,,,
34.68,21.64,106.12,3,Fire,,,
34.8,21.78,126.64,3,Fire,,,
34.92,21.92,132.4,3,Fire,,,
35.04,22.06,133.48,3,Fire,,,
35.16,22.2,115.76,3,Fire,,,
35.28,22.34,147.88,3,Fire,,,
35.4,22.48,121.96,3,Fire,,,
35.52,22.62,145.72,3,Fire,,,
35.64,22.76,130.24,3,Fire,,,
35.76,22.9,103.96,3,Fire,,,
35.88,23.04,143.56,3,Fire,,,
36,23.18,119,3,Fire,,,
36.12,23.32,111.88,3,Fire,,,
36.24,23.46,102.16,3,Fire,,,
36.36,23.6,139.96,3,Fire,,,
36.48,23.74,112.88,3,Fire,,,
36.6,23.88,143.2,3,Fire,,,
36.72,20.02,146.08,3,Fire,,,
36.84,20.16,135.64,3,Fire,,,
36.96,20.3,147.52,3,Fire,,,
37.08,20.44,114.4,3,Fire,,,
37.2,20.58,133.12,3,Fire,,,
37.32,20.72,116.92,3,Fire,,,
37.44,20.86,124.12,3,Fire,,,
37.56,21,126.64,3,Fire,,,
37.68,21.14,116.2,3,Fire,,,
37.8,21.28,142.48,3,Fire,,,
37.92,21.42,105.04,3,Fire,,,
38.04,21.56,125.56,3,Fire,,,
38.16,21.7,114.76,3,Fire,,,
38.28,21.84,142.12,3,Fire,,,
38.4,21.98,138.52,3,Fire,,,
38.52,22.12,108.28,3,Fire,,,
38.64,22.26,137.08,3,Fire,,,
38.76,22.4,122.68,3,Fire,,,
38.88,22.54,120.52,3,Fire,,,
39,22.68,123.4,3,Fire,,,
39.12,22.82,114.04,3,Fire,,,
39.24,22.96,107.2,3,Fire,,,
39.36,23.1,141.4,3,Fire,,,
39.48,23.24,136.72,3,Fire,,,
39.6,23.38,123.04,3,Fire,,,
39.72,23.52,113.68,3,Fire,,,
39.84,23.66,136.36,3,Fire,,,
39.96,23.8,147.16,3,Fire,,,
40.08,23.94,113.32,3,Fire,,,
40.2,20.2,128.08,3,Fire,,,
40.32,20.34,131.68,3,Fire,,,
40.44,20.48,148.24,3,Fire,,,
40.56,20.62,126.64,3,Fire,,,
40.68,20.76,107.56,3,Fire,,,
40.8,20.9,104.32,3,Fire,,,
40.92,21.04,106.84,3,Fire,,,
41.04,21.18,142.84,3,Fire,,,
41.16,21.32,116.56,3,Fire,,,
